championName,perk1,perk2,perk3,skill1,skill2,sumSpell1,sumSpell2,weak1,weak2,weak3,weak4,weak5,strong1,strong2,strong3,strong4,strong5
Xerath,Inspiration,First Strike,Sorcery,"['Q', 'W', 'E']","['W', 'Q', 'E', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Exhaust,Flash,"['Zac', '45.96%', '2,178']","['Taric', '47.51%', '882']","['Leblanc', '48.08%', '2,475']","['Maokai', '48.1%', '3,917']","['Bard', '49.28%', '4,980']","['Hwei', '61.61%', '6,249']","['Missfortune', '58.66%', '4,968']","['Veigar', '58.37%', '1,744']","['Seraphine', '55.32%', '5,647']","['Ziggs', '55.05%', '1,415']"
Olaf,Precision,Conqueror,Inspiration,"['Q', 'E', 'W']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Ghost,"['Rengar', '44.54%', '348']","['Udyr', '45.15%', '237']","['Trundle', '45.78%', '5,116']","['Kled', '46.15%', '403']","['Zed', '47.84%', '232']","['Mordekaiser', '57.01%', '1,868']","['Shen', '56.59%', '440']","['Kennen', '56.46%', '712']","['Ksante', '55.92%', '1,638']","['Maokai', '55.67%', '291']"
Veigar,Inspiration,First Strike,Sorcery,"['Q', 'W', 'E']","['Q', 'W', 'E', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Flash,Teleport,"['Ekko', '46.24%', '1,516']","['Katarina', '46.95%', '2,149']","['Aurelionsol', '47.42%', '660']","['Xerath', '47.63%', '2,423']","['Gangplank', '48.04%', '281']","['Hwei', '58.1%', '3,893']","['Azir', '56.74%', '2,210']","['Sett', '56.35%', '252']","['Morgana', '56.02%', '457']","['Pantheon', '55.33%', '985']"
Syndra,Inspiration,First Strike,Sorcery,"['Q', 'W', 'E']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Flash,Teleport,"['Fizz', '44.09%', '9,860']","['Kassadin', '44.1%', '2,050']","['Irelia', '44.74%', '8,416']","['Katarina', '44.94%', '6,493']","['Naafiri', '45.49%', '1,684']","['Hwei', '58.88%', '14,300']","['Azir', '52.76%', '7,955']","['Pantheon', '52.41%', '2,782']","['Orianna', '52.33%', '34,091']","['Yone', '51.86%', '24,691']"
Ornn,Resolve,Grasp of the Undying,Inspiration,"['W', 'Q', 'E']","['Q', 'W', 'E', 'W', 'W', 'R', 'W', 'Q', 'W', 'Q', 'R', 'Q', 'Q', 'E', 'E']",Flash,Teleport,"['Singed', '42.67%', '764']","['Kayle', '46.47%', '1,586']","['Fiora', '47.36%', '4,297']","['Olaf', '47.55%', '917']","['Udyr', '48.04%', '408']","['Vladimir', '57.3%', '445']","['Teemo', '56.9%', '2,840']","['Malphite', '56.85%', '4,806']","['Kalista', '56.82%', '308']","['Gragas', '56.69%', '344']"
Jarvan IV,Precision,Conqueror,Inspiration,"['Q', 'E', 'W']","['E', 'Q', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Smite,"['Gwen', '45.18%', '892']","['Fiddlesticks', '45.33%', '3,225']","['Briar', '46.29%', '9,093']","['Ivern', '46.4%', '1,625']","['Karthus', '46.5%', '3,961']","['Sejuani', '51.27%', '3,667']","['Maokai', '51.21%', '3,689']","['Nunu', '51.2%', '3,039']","['Hecarim', '50.78%', '3,637']","['Vi', '50.73%', '6,819']"
Gwen,Precision,Conqueror,Resolve,"['Q', 'E', 'W']","['E', 'Q', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Ghost,Teleport,"['Singed', '41.48%', '904']","['Zed', '42.07%', '416']","['Quinn', '43.69%', '531']","['Kayle', '43.82%', '1,335']","['Riven', '44.12%', '3,035']","['Sion', '56.66%', '2,434']","['Kalista', '56.27%', '279']","['Ksante', '53.52%', '4,589']","['Drmundo', '53.26%', '2,223']","['Illaoi', '53.18%', '4,361']"
Lux,Sorcery,Arcane Comet,Inspiration,"['E', 'Q', 'W']","['E', 'Q', 'W', 'E', 'E', 'R', 'E', 'Q', 'E', 'Q', 'R', 'Q', 'Q', 'W', 'W']",Flash,Ignite,"['Xerath', '45.6%', '37,415']","['Blitzcrank', '45.69%', '31,426']","['Leblanc', '46.29%', '3,057']","['Twitch', '46.36%', '2,127']","['Fiddlesticks', '46.44%', '1,768']","['Hwei', '57.37%', '8,346']","['Malphite', '52.79%', '3,283']","['Missfortune', '52.78%', '7,886']","['Veigar', '52.71%', '2,783']","['Lulu', '51.91%', '13,661']"
Vayne,Precision,Lethal Tempo,Resolve,"['W', 'Q', 'E']","['Q', 'W', 'E', 'W', 'W', 'R', 'W', 'Q', 'W', 'Q', 'R', 'Q', 'Q', 'E', 'E']",Flash,Ghost,"['Swain', '45.84%', '986']","['Nilah', '46.86%', '1,592']","['Twitch', '48.32%', '2,523']","['Missfortune', '48.33%', '11,499']","['Draven', '49.02%', '3,562']","['Zeri', '56.15%', '3,911']","['Yasuo', '53.43%', '2,188']","['Sivir', '53.14%', '5,167']","['Kaisa', '52.4%', '34,526']","['Tristana', '52.12%', '4,083']"
Ivern,Sorcery,Summon Aery,Domination,"['E', 'Q', 'W']","['Q', 'E', 'W', 'E', 'E', 'R', 'E', 'Q', 'E', 'Q', 'R', 'Q', 'Q', 'W', 'W']",Flash,Smite,"['Rammus', '47%', '766']","['Evelynn', '48.39%', '746']","['Briar', '48.51%', '1,639']","['Brand', '48.95%', '713']","['Maokai', '49.55%', '674']","['Monkeyking', '60.81%', '273']","['Rell', '60.58%', '137']","['Zed', '57.55%', '139']","['Jax', '57.48%', '381']","['Poppy', '57.32%', '745']"
Seraphine,Sorcery,Summon Aery,Inspiration,"['Q', 'W', 'E']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Flash,Ignite,"['Zyra', '43.79%', '3,364']","['Xerath', '44.68%', '5,647']","['Heimerdinger', '44.9%', '833']","['Braum', '44.91%', '746']","['Zilean', '45.56%', '913']","['Hwei', '54.88%', '1,538']","['Pantheon', '52.17%', '1,037']","['Malphite', '51.71%', '673']","['Yuumi', '50.96%', '3,377']","['Ashe', '50.76%', '3,294']"
Shen,Resolve,Grasp of the Undying,Domination,"['Q', 'E', 'W']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Teleport,"['Vayne', '43.14%', '503']","['Olaf', '43.31%', '441']","['Drmundo', '45.01%', '631']","['Illaoi', '45.18%', '1,452']","['Mordekaiser', '45.2%', '1,332']","['Sylas', '58.3%', '578']","['Gragas', '58.29%', '187']","['Akali', '56.84%', '1,163']","['Udyr', '54.98%', '211']","['Tahmkench', '54.05%', '444']"
Yone,Precision,Lethal Tempo,Resolve,"['Q', 'E', 'W']","['Q', 'W', 'E', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Teleport,"['Vex', '45.97%', '20,161']","['Akshan', '46.42%', '6,738']","['Anivia', '46.7%', '4,717']","['Sett', '46.85%', '3,385']","['Twistedfate', '46.98%', '11,285']","['Hwei', '57.79%', '24,420']","['Kassadin', '54.19%', '2,412']","['Aurelionsol', '53.86%', '2,579']","['Nunu', '52.63%', '1,898']","['Ziggs', '52.3%', '1,784']"
Master Yi,Precision,Lethal Tempo,Domination,"['Q', 'E', 'W']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Smite,"['Rammus', '43.55%', '11,434']","['Elise', '44.14%', '3,054']","['Jax', '45.21%', '4,716']","['Shaco', '45.58%', '6,856']","['Evelynn', '45.64%', '4,012']","['Rumble', '54.8%', '947']","['Gwen', '53.83%', '587']","['Hecarim', '53.64%', '2,882']","['Jarvaniv', '53.37%', '7,320']","['Rengar', '52.06%', '1,043']"
Nocturne,Precision,Lethal Tempo,Domination,"['Q', 'E', 'W']","['Q', 'W', 'E', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Smite,"['Ivern', '48.14%', '3,122']","['Rammus', '48.28%', '13,864']","['Shyvana', '49.28%', '4,994']","['Lillia', '49.62%', '5,572']",None,"['Rengar', '55.45%', '2,321']","['Hecarim', '53.98%', '7,459']","['Vi', '53.9%', '13,226']","['Nidalee', '53.76%', '14,962']","['Monkeyking', '53.74%', '4,241']"
Zyra,Sorcery,Arcane Comet,Domination,"['E', 'Q', 'W']","['E', 'W', 'Q', 'E', 'E', 'R', 'E', 'Q', 'E', 'Q', 'R', 'Q', 'Q', 'W', 'W']",Flash,Ignite,"['Teemo', '48.57%', '805']","['Shaco', '48.95%', '1,961']","['Tahmkench', '49.44%', '714']","['Xerath', '49.45%', '10,987']","['Taric', '49.51%', '515']","['Hwei', '63.38%', '2,884']","['Veigar', '57.77%', '798']","['Missfortune', '57.01%', '2,598']","['Seraphine', '56.21%', '3,364']","['Lulu', '55.83%', '5,732']"
Maokai,Sorcery,Phase Rush,Domination,"['Q', 'E', 'W']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Smite,"['Shyvana', '46.26%', '882']","['Brand', '46.58%', '1,213']","['Karthus', '46.64%', '1,576']","['Nocturne', '47.16%', '7,191']","['Taliyah', '48.13%', '2,084']","['Monkeyking', '56.11%', '925']","['Pantheon', '55.05%', '307']","['Rumble', '54.37%', '412']","['Udyr', '53.89%', '592']","['Viego', '53.67%', '3,490']"
Xin Zhao,Precision,Conqueror,Inspiration,"['W', 'E', 'Q']","['E', 'W', 'Q', 'W', 'W', 'R', 'W', 'E', 'W', 'E', 'R', 'E', 'E', 'Q', 'Q']",Flash,Smite,"['Rammus', '43.58%', '1,689']","['Ivern', '44.4%', '536']","['Briar', '45.73%', '3,462']","['Trundle', '46.24%', '1,077']","['Taliyah', '46.82%', '1,555']","['Hecarim', '55.24%', '1,164']","['Monkeyking', '54.63%', '681']","['Belveth', '52.84%', '1,796']","['Diana', '52.63%', '1,672']","['Teemo', '52.56%', '683']"
Twisted Fate,Domination,Electrocute,Inspiration,"['Q', 'W', 'E']","['W', 'Q', 'E', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Flash,Teleport,"['Swain', '42.43%', '667']","['Naafiri', '45.6%', '829']","['Fizz', '46.68%', '3,751']","['Taliyah', '46.84%', '538']","['Neeko', '46.89%', '2,414']","['Hwei', '58.71%', '6,321']","['Azir', '54.66%', '3,725']","['Leblanc', '54.62%', '4,645']","['Akali', '54.23%', '12,149']","['Lux', '54.19%', '1,576']"
Akali,Precision,Fleet Footwork,Resolve,"['Q', 'E', 'W']","['Q', 'W', 'E', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Teleport,"['Galio', '45.63%', '9,727']","['Twistedfate', '45.77%', '12,149']","['Taliyah', '45.8%', '1,668']","['Akshan', '46.3%', '5,451']","['Naafiri', '46.71%', '3,387']","['Hwei', '57.15%', '18,850']","['Ziggs', '53.59%', '1,450']","['Viktor', '52.56%', '7,622']","['Yone', '52.26%', '59,198']","['Ekko', '51.89%', '7,079']"
Ziggs,Sorcery,Arcane Comet,Inspiration,"['Q', 'E', 'W']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Teleport,"['Vayne', '48.74%', '3,941']","['Jhin', '49.89%', '11,337']",None,None,None,"['Aphelios', '55.02%', '2,708']","['Nilah', '55%', '560']","['Xayah', '54.81%', '4,353']","['Jinx', '54.63%', '6,220']","['Missfortune', '54.63%', '5,008']"
Sylas,Domination,Electrocute,Sorcery,"['W', 'E', 'Q']","['E', 'W', 'Q', 'W', 'W', 'R', 'W', 'E', 'W', 'E', 'R', 'E', 'E', 'Q', 'Q']",Flash,Teleport,"['Naafiri', '45.38%', '3,627']","['Taliyah', '45.5%', '2,369']","['Malzahar', '45.74%', '7,270']","['Galio', '46.36%', '8,132']","['Anivia', '46.65%', '4,510']","['Malphite', '59.6%', '2,582']","['Hwei', '56.69%', '21,184']","['Ziggs', '54.53%', '1,590']","['Ekko', '54.44%', '8,505']","['Tristana', '54.33%', '1,999']"
Taliyah,Inspiration,First Strike,Domination,"['Q', 'E', 'W']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Smite,"['Udyr', '47.64%', '720']","['Fiddlesticks', '48.37%', '1,962']","['Teemo', '48.49%', '763']","['Rengar', '48.76%', '683']","['Briar', '48.97%', '5,234']","['Pantheon', '55.38%', '372']","['Monkeyking', '55.25%', '1,039']","['Jax', '54.99%', '1,393']","['Poppy', '53.55%', '3,016']","['Amumu', '53.53%', '1,457']"
Lulu,Sorcery,Summon Aery,Inspiration,"['E', 'W', 'Q']","['E', 'Q', 'W', 'E', 'E', 'R', 'E', 'W', 'E', 'W', 'R', 'W', 'W', 'Q', 'Q']",Flash,Ignite,"['Taric', '44.03%', '645']","['Zyra', '44.17%', '5,732']","['Maokai', '44.27%', '1,694']","['Blitzcrank', '45.14%', '10,681']","['Velkoz', '45.3%', '1,682']","['Hwei', '54.81%', '2,912']","['Missfortune', '53.75%', '1,758']","['Twitch', '52.89%', '813']","['Veigar', '52.06%', '872']","['Yuumi', '51.65%', '7,363']"
Riven,Precision,Conqueror,Sorcery,"['Q', 'E', 'W']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Ignite,"['Maokai', '43.65%', '1,086']","['Poppy', '43.7%', '2,197']","['Garen', '44.28%', '5,433']","['Urgot', '44.32%', '1,162']","['Renekton', '44.87%', '6,211']","['Yasuo', '56.16%', '2,110']","['Gwen', '55.93%', '3,036']","['Sylas', '55.69%', '1,090']","['Yone', '54.61%', '11,074']","['Akali', '54.18%', '3,579']"
Poppy,Domination,Dark Harvest,Sorcery,"['Q', 'E', 'W']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Smite,"['Ivern', '42.68%', '745']","['Rammus', '44.47%', '2,568']","['Brand', '44.66%', '1,527']","['Lillia', '46.38%', '1,904']","['Taliyah', '46.45%', '3,016']","['Rengar', '55.36%', '858']","['Sylas', '54.96%', '4,554']","['Belveth', '53.72%', '2,664']","['Jarvaniv', '53.3%', '6,644']","['Vi', '52.83%', '4,448']"
Karma,Sorcery,Arcane Comet,Inspiration,"['Q', 'E', 'W']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Ignite,"['Maokai', '44.5%', '2,247']","['Blitzcrank', '44.73%', '14,041']","['Zyra', '45.81%', '8,432']","['Leblanc', '46.26%', '1,565']","['Rakan', '46.31%', '15,429']","['Hwei', '60.6%', '3,759']","['Missfortune', '57.27%', '2,193']","['Ziggs', '53.74%', '696']","['Veigar', '52.1%', '977']","['Swain', '51.62%', '3,675']"
Dr. Mundo,Resolve,Grasp of the Undying,Inspiration,"['Q', 'E', 'W']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Ghost,Teleport,"['Udyr', '41.69%', '295']","['Kled', '42.22%', '450']","['Irelia', '44.47%', '1,484']","['Warwick', '46.28%', '551']","['Nasus', '46.42%', '2,783']","['Kennen', '58.45%', '1,030']","['Chogath', '56.91%', '550']","['Malphite', '56.7%', '3,129']","['Ryze', '56.6%', '235']","['Maokai', '56.04%', '364']"
Mordekaiser,Precision,Conqueror,Resolve,"['Q', 'E', 'W']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Teleport,"['Kled', '41.38%', '754']","['Olaf', '43.02%', '1,869']","['Vayne', '44.16%', '1,456']","['Singed', '44.27%', '777']","['Warwick', '44.66%', '889']","['Shen', '54.88%', '1,332']","['Gragas', '54.86%', '350']","['Malphite', '54.61%', '5,252']","['Kalista', '54.52%', '310']","['Illaoi', '53.91%', '6,529']"
Shaco,Domination,Hail of Blades,Precision,"['E', 'Q', 'W']","['W', 'Q', 'E', 'E', 'E', 'R', 'E', 'Q', 'E', 'Q', 'R', 'Q', 'Q', 'W', 'W']",Smite,Ignite,"['Karthus', '46.63%', '4,351']","['Briar', '47.09%', '9,527']","['Graves', '47.62%', '18,707']","['Lillia', '47.88%', '2,598']","['Shyvana', '47.94%', '2,257']","['Monkeyking', '58.16%', '1,599']","['Masteryi', '54.42%', '6,856']","['Zed', '53.95%', '810']","['Viego', '53.87%', '7,180']","['Warwick', '52.86%', '3,729']"
Akshan,Precision,Press the Attack,Resolve,"['Q', 'E', 'W']","['Q', 'E', 'Q', 'W', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Teleport,"['Anivia', '45.65%', '920']","['Swain', '46.5%', '314']","['Malphite', '46.98%', '696']","['Yasuo', '47.11%', '3,800']","['Kassadin', '47.14%', '297']","['Hwei', '60.97%', '3,631']","['Morgana', '57.14%', '231']","['Leblanc', '57.04%', '2,821']","['Gangplank', '55.88%', '204']","['Qiyana', '55.39%', '547']"
Nidalee,Domination,Dark Harvest,Sorcery,"['Q', 'E', 'W']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Smite,"['Briar', '44.5%', '9,048']","['Rammus', '45.37%', '4,029']","['Fiddlesticks', '45.97%', '3,161']","['Evelynn', '46.08%', '4,269']","['Nocturne', '46.24%', '14,962']","['Pantheon', '51.85%', '675']","['Viego', '51.77%', '7,731']","['Kindred', '50.88%', '3,278']","['Rumble', '50.6%', '992']","['Monkeyking', '50.37%', '1,503']"
Draven,Precision,Lethal Tempo,Inspiration,"['Q', 'W', 'E']","['Q', 'W', 'E', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Flash,Heal,"['Swain', '41.65%', '461']","['Kogmaw', '43.11%', '573']","['Samira', '47.04%', '6,424']","['Yasuo', '47.69%', '843']","['Ziggs', '48.47%', '2,065']","['Zeri', '54.65%', '1,709']","['Kaisa', '52.95%', '13,162']","['Xayah', '52.39%', '5,375']","['Tristana', '52.06%', '1,554']","['Aphelios', '51.76%', '3,528']"
Azir,Precision,Conqueror,Sorcery,"['W', 'Q', 'E']","['W', 'Q', 'E', 'W', 'W', 'R', 'W', 'Q', 'W', 'Q', 'R', 'Q', 'Q', 'E', 'E']",Flash,Teleport,"['Veigar', '43.26%', '2,210']","['Xerath', '43.85%', '4,641']","['Brand', '44.62%', '1,022']","['Corki', '44.75%', '943']","['Viktor', '44.97%', '3,309']","['Hwei', '55.23%', '6,526']","['Renekton', '53.96%', '278']","['Pantheon', '52.44%', '1,375']","['Ryze', '51.99%', '1,233']","['Lissandra', '50.77%', '1,873']"
Zoe,Domination,Electrocute,Inspiration,"['Q', 'E', 'W']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Ignite,"['Naafiri', '43.62%', '564']","['Anivia', '44.12%', '748']","['Annie', '45.28%', '519']","['Malzahar', '45.76%', '1,215']","['Akshan', '46.05%', '1,001']","['Hwei', '58.24%', '3,491']","['Azir', '53.96%', '1,883']","['Ziggs', '53.36%', '253']","['Zed', '53.05%', '2,988']","['Taliyah', '51.7%', '265']"
Diana,Precision,Conqueror,Inspiration,"['Q', 'W', 'E']","['Q', 'W', 'E', 'Q', 'Q', 'R', 'Q', 'W', 'Q', 'W', 'R', 'W', 'W', 'E', 'E']",Flash,Smite,"['Reksai', '44.68%', '714']","['Briar', '44.68%', '4,705']","['Jax', '46.19%', '1,498']","['Nocturne', '46.95%', '8,957']","['Warwick', '47.01%', '2,110']","['Pantheon', '55.41%', '370']","['Zed', '54.2%', '417']","['Monkeyking', '52.71%', '1,015']","['Rengar', '52.11%', '570']","['Nidalee', '52.09%', '3,922']"
Nami,Sorcery,Summon Aery,Inspiration,"['W', 'E', 'Q']","['W', 'E', 'Q', 'W', 'W', 'R', 'W', 'E', 'W', 'E', 'R', 'E', 'E', 'Q', 'Q']",Flash,Ignite,"['Maokai', '43.72%', '940']","['Amumu', '44.8%', '596']","['Blitzcrank', '45.12%', '5,561']","['Zyra', '45.41%', '3,039']","['Galio', '45.56%', '270']","['Hwei', '58.05%', '1,504']","['Veigar', '54.48%', '446']","['Twitch', '53.65%', '384']","['Seraphine', '53.22%', '1,539']","['Yuumi', '52.65%', '3,548']"
Katarina,Precision,Conqueror,Domination,"['Q', 'E', 'W']","['Q', 'E', 'W', 'Q', 'Q', 'R', 'Q', 'E', 'Q', 'E', 'R', 'E', 'E', 'W', 'W']",Flash,Ignite,"['Galio', '43.42%', '2,720']","['Sett', '44.87%', '439']","['Naafiri', '45.9%', '769']","['Corki', '46.75%', '616']","['Kassadin', '46.82%', '1,461']","['Hwei', '61.75%', '7,049']","['Lux', '55.82%', '1,804']","['Gangplank', '55.59%', '358']","['Syndra', '55.06%', '6,493']","['Ziggs', '55.04%', '427']"
